ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Fruit and Vegetable Preserving and Specialty Food Manufacturing,Frozen Specialty Food Manufacturing,,usd,"0,718",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Fruit and Vegetable Preserving and Specialty Food Manufacturing,Fruit and Vegetable Canning,,usd,"0,518",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Fruit and Vegetable Preserving and Specialty Food Manufacturing,Specialty Canning,,usd,"0,518",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Fruit and Vegetable Preserving and Specialty Food Manufacturing,Dried and Dehydrated Food Manufacturing,,usd,"0,518",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Dairy Product Manufacturing,Fluid Milk Manufacturing,,usd,"1,039",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Dairy Product Manufacturing,Creamery Butter Manufacturing,,usd,"1,039",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Dairy Product Manufacturing,Cheese Manufacturing,,usd,"1,259",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Dairy Product Manufacturing,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",,usd,"0,946",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Dairy Product Manufacturing,Ice Cream and Frozen Dessert Manufacturing,,usd,"0,637",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Animal Slaughtering and Processing,Animal (except Poultry) Slaughtering,,usd,"1,279",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Animal Slaughtering and Processing,Meat Processed from Carcasses,,usd,"1,279",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Animal Slaughtering and Processing,Rendering and Meat Byproduct Processing,,usd,"1,279",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Animal Slaughtering and Processing,Poultry Processing,,usd,"0,640",U.S EPA,2021
